Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
12/11/2022,14.2,19.3,0,2.4,1.1,SSW,26,12:58,15.7,69,7,SSE,7,1014.3,17.6,66,7,SSW,13,1010.9
13/11/2022,15.4,24.8,6.6,2.8,3.5,N,44,9:34,19.1,88,2,NNE,9,1001.8,24.3,59,7,N,19,998.6
14/11/2022,13,17.4,13.6,4.8,2.7,SSW,41,12:56,15.3,78,7,N,13,997.1,15,87,7,SSW,13,1003.6
15/11/2022,8,13.1,14.2,2.2,4.5,SW,43,11:45,10.1,72,5,W,7,1013.1,10.8,72,7,S,17,1013.1
16/11/2022,7.2,14.8,0.6,3.2,3.6,S,43,14:47,11,64,7,WSW,11,1015.1,13.9,51,7,S,15,1015.9
17/11/2022,9.6,16.3,3.2,3.4,8.4,SSW,33,0:35,13.1,71,7,SSW,13,1019.3,15.5,63,5,SSW,13,1018.7
18/11/2022,7.2,24.5,0,3.4,12.4,NNW,28,15:26,12.5,70,1,NE,7,1016.6,22,47,2,WSW,11,1010.9
19/11/2022,12.5,22.3,0,7.4,2.5,N,59,17:16,19.3,52,8,NE,9,1003.1,18.3,65,7,N,19,997.6
20/11/2022,11.8,20.6,16,7.8,9,NNW,50,15:42,14.3,63,5,NW,15,998.2,19.4,36,5,WNW,15,997.1
21/11/2022,9.4,13.8,1.2,5.2,11.3,W,57,11:27,11.2,51,3,NW,24,1001.8,11.8,64,5,SW,17,1005.1
22/11/2022,8.7,18.2,2,6.2,1.5,WNW,37,16:58,12.7,68,7,WNW,13,1012.9,18,58,7,WSW,9,1012.3
23/11/2022,11.6,17.7,0.6,2.1,2.2,SSW,30,13:18,14.7,65,7,W,11,1015.6,16.1,77,8,SW,6,1016.9
24/11/2022,12.4,19.2,2.8,3.6,5.8,SSE,22,20:13,14.3,73,7,W,7,1021,17,63,7,SE,7,1020.4
25/11/2022,11.6,20.6,0,3.2,8.2,S,22,11:42,14.3,75,7,SW,9,1021.7,19.2,51,3,SE,6,1020
26/11/2022,10.9,27.3,0,5,6.1,N,54,13:12,16.8,66,7,NE,11,1011.9,27,33,7,N,20,1004.6
27/11/2022,14.7,20.5,0.2,8.2,4.6,SSW,37,16:10,16,71,7,SW,9,1004.5,19.5,51,5,S,9,1003.7
28/11/2022,9.7,18.8,0.2,4.6,4.1,NW,31,19:49,14,61,1,NW,11,1009.1,18.1,46,7,WSW,7,1008
29/11/2022,12.2,18.4,0.4,3.4,11.8,S,33,9:26,15.5,65,7,WSW,11,1015.6,17.7,52,7,SSW,13,1016.9
30/11/2022,11.6,18.4,0,5,10.2,SSW,31,16:47,16,58,7,SSE,9,1019.8,17.9,52,4,SSW,9,1017.7
1/12/2022,12.1,18.8,0,5.8,5.4,S,35,15:17,17,73,7,ESE,11,1018.8,18.1,63,7,S,17,1017.7
2/12/2022,9.4,21.4,0,4.8,12.4,SSW,26,15:00,15,74,5,N,6,1018.3,20.4,62,1,SSW,13,1015.4
3/12/2022,13.6,31,0,5.4,11.7,NNW,31,8:54,21.3,68,1,NE,7,1015.7,28.8,42,6,SSW,13,1013
4/12/2022,17.3,34.5,0,7.2,11.8,NW,44,13:22,27.2,43,1,NNE,9,1011.7,32.5,28,7,NNW,19,1007.8
5/12/2022,16.2,18.1,0,13.4,2.3,SSW,52,15:08,16.6,77,7,SSW,13,1009.6,16.3,70,7,SSW,17,1011.7
6/12/2022,13.4,20,1.2,3.8,7.3,S,31,16:43,15.5,71,7,SE,17,1012.1,19.2,56,5,S,13,1008.9
7/12/2022,13.1,19.3,0.2,4.6,6.3,SW,41,18:31,16.4,68,7,S,7,1004.5,18.4,62,7,S,15,1004.4
8/12/2022,9.4,16,0.6,5.6,8,S,48,11:40,10.8,72,3,WSW,13,1013.8,15.5,48,7,S,20,1015.2
9/12/2022,9.9,17.6,2.4,4.5,11.1,S,41,16:53,14.6,44,6,SSE,15,1018.1,16.4,51,7,SSW,17,1017.3
10/12/2022,8.1,25.9,0,5.9,11.9,N,31,12:24,14.2,63,1,NW,7,1017.1,24.8,32,2,NW,11,1012
11/12/2022,14,28.6,0,7.8,3.9,N,54,11:06,20.7,53,6,NNE,13,1005.4,25.7,35,8,NNW,20,1002
12/12/2022,11.5,17.3,17.4,6.8,6.2,NW,44,13:54,12.6,84,7,WNW,9,1001,16,59,5,NW,22,1002.1
13/12/2022,11.6,17.9,3.2,5.4,5.2,NNW,44,8:07,14.2,56,5,NNW,15,1008.7,12.2,86,7,W,13,1008
14/12/2022,9,15.8,6.2,5.4,7.7,S,50,16:01,13.7,64,7,S,19,1013.2,12.4,77,6,SSW,19,1015.5
15/12/2022,11.1,16.6,3.4,4.2,8,S,39,15:25,14.8,58,7,SSE,11,1017,15.7,57,5,SSW,15,1016.5
16/12/2022,10.8,20.3,0,3.6,10.8,SE,35,9:43,15.7,58,3,SE,11,1019.4,19.2,47,6,SSE,13,1019
17/12/2022,10.9,22.3,0.2,6.3,13.7,SSE,41,16:23,16.5,61,1,SE,15,1023,21.4,44,4,SE,19,1021.4
18/12/2022,11.7,23.7,0,7.8,13.7,ESE,37,17:51,16.5,54,1,ESE,15,1024.9,22.6,41,1,SE,17,1021.6
19/12/2022,9.8,26,0,6.8,13,SSE,33,17:35,16.6,67,1,WSW,4,1025.5,22.4,39,1,SSW,17,1022.3
20/12/2022,10.2,27.3,0,6.8,11.5,SSE,31,16:59,16.4,64,1,NE,7,1022,26.3,32,1,SSE,15,1017.6
21/12/2022,12.9,29.4,0,8,6.5,NNE,30,11:51,18.2,64,6,NNE,7,1015.3,28.2,27,7,NNE,11,1011.6
22/12/2022,16.8,25.2,5.2,7.8,3.7,N,26,16:53,17.4,91,7,ENE,6,1011.6,21.5,82,3,WSW,4,1008.5
23/12/2022,15.7,23.1,1.6,12.6,6.5,SW,28,21:16,18.2,97,7,S,4,1011.7,20.2,76,5,SSW,13,1009.7
